CS,Density,WC,pH,EC,F,G,Pollen_analysis,Viscosity,Purity,Price
2.81,1.75,23.04,6.29,0.76,39.02,33.63,Blueberry,4844.5,0.68,645.24
9.47,1.82,17.5,7.2,0.71,38.15,34.41,Alfalfa,6689.02,0.89,385.85
4.61,1.84,23.72,7.31,0.8,27.47,34.36,Chestnut,6883.6,0.66,639.64
1.77,1.4,16.61,4.01,0.78,31.52,28.15,Blueberry,7167.56,1.0,946.46
6.11,1.25,19.63,4.82,0.9,29.65,42.52,Alfalfa,5125.44,1.0,432.62
2.17,1.35,20.67,4.11,0.75,27.19,43.54,Borage,3967.3,0.8,593.55
7.15,1.57,13.37,5.79,0.89,43.38,44.94,Sunflower,7384.93,0.95,838.98
3.17,1.23,23.35,6.64,0.85,43.5,36.33,Chestnut,5598.87,0.66,639.64
4.98,1.73,16.6,6.61,0.74,22.49,44.74,Orange Blossom,8800.1,0.95,238.05
8.49,1.5,15.75,4.5,0.86,49.59,38.13,Blueberry,2675.6,0.82,777.84
3.74,1.34,14.98,2.52,0.89,32.3,27.13,Acacia,2738.1,0.68,370.46
4.68,1.61,16.86,2.75,0.71,26.79,23.48,Tupelo,7953.78,0.85,792.98
8.19,1.5,22.7,2.92,0.82,27.09,31.1,Clover,4106.97,0.66,139.71
7.78,1.49,12.64,3.99,0.81,36.67,33.41,Alfalfa,7416.55,0.84,364.2
3.0,1.53,13.6,6.86,0.72,42.52,28.95,Wildflower,2675.4,0.66,212.98
6.68,1.38,12.6,5.94,0.72,47.95,26.4,Thyme,4908.49,1.0,916.22
6.4,1.34,16.4,4.36,0.7,20.01,37.52,Alfalfa,8084.26,1.0,432.62
6.72,1.67,23.21,5.36,0.76,41.59,29.58,Sage,7559.47,0.97,900.34
5.09,1.5,22.88,2.81,0.74,40.63,21.26,Avocado,9215.3,0.95,924.88
7.35,1.62,21.17,5.39,0.72,26.3,44.32,Tupelo,5338.65,0.64,596.2
3.16,1.29,17.97,4.74,0.7,43.59,41.67,Sunflower,3551.28,1.0,885.99
5.1,1.68,20.62,2.51,0.87,22.04,27.42,Sunflower,6687.74,0.97,861.15
7.56,1.36,13.04,4.84,0.79,40.16,35.03,Sunflower,2384.71,1.0,885.99
4.51,1.33,20.1,4.63,0.8,40.2,24.98,Lavender,6893.08,0.8,481.16
9.46,1.53,13.71,5.85,0.83,20.17,32.95,Blueberry,4543.93,0.66,626.3
7.51,1.34,21.45,3.54,0.74,22.29,37.98,Tupelo,5259.46,0.82,769.55
1.1,1.45,23.09,6.18,0.77,40.07,24.68,Acacia,7840.77,0.88,476.51
8.73,1.57,16.44,2.67,0.82,39.39,41.25,Lavender,2493.47,0.63,380.25
7.12,1.74,15.4,6.79,0.71,45.83,39.96,Borage,7404.7,0.97,724.03
7.59,1.66,17.28,2.75,0.72,48.33,44.65,Avocado,4715.06,0.85,827.12
9.28,1.56,20.43,6.74,0.78,30.89,30.52,Sage,3764.25,0.68,631.49
8.76,1.48,20.13,5.88,0.85,28.97,34.11,Eucalyptus,5818.75,0.66,459.59
7.89,1.84,13.17,5.05,0.85,29.36,24.16,Acacia,2631.71,0.64,345.99
2.51,1.5,15.93,4.82,0.74,46.22,23.57,Sunflower,3075.59,0.8,705.97
4.01,1.77,12.72,6.04,0.83,33.76,31.63,Alfalfa,4727.6,0.68,294.93
2.17,1.75,20.36,3.49,0.71,32.24,40.96,Buckwheat,2780.12,0.82,559.08
1.39,1.84,21.97,2.59,0.75,34.66,31.39,Blueberry,6578.67,0.68,645.24
7.57,1.71,21.13,6.63,0.79,32.62,39.51,Avocado,3284.44,0.68,665.85
4.12,1.52,17.81,5.58,0.73,33.61,30.45,Tupelo,9574.79,0.86,809.85
8.79,1.6,14.5,3.11,0.82,29.48,32.14,Wildflower,8442.15,0.82,264.51
5.01,1.5,23.14,4.48,0.88,49.16,39.06,Rosemary,8791.48,1.0,754.98
7.07,1.5,16.23,6.42,0.89,46.98,40.49,Wildflower,2095.04,0.92,296.08
3.1,1.3,22.31,5.63,0.83,36.74,36.18,Alfalfa,3882.46,0.68,294.93
4.72,1.28,14.59,3.12,0.81,21.28,38.93,Sage,3790.15,0.82,761.27
6.95,1.67,18.67,4.67,0.8,28.33,33.99,Sunflower,1621.05,1.0,885.99
8.8,1.47,20.1,5.62,0.88,22.31,26.08,Alfalfa,6538.74,0.66,286.27
1.29,1.36,18.08,6.75,0.75,41.06,23.37,Lavender,4417.09,1.0,603.85
6.63,1.24,21.02,3.88,0.77,23.01,25.36,Avocado,7228.89,1.0,976.69
9.29,1.71,22.0,3.67,0.88,48.05,29.3,Avocado,5711.55,0.82,802.69
2.5,1.33,17.65,4.22,0.78,45.9,40.66,Avocado,5124.48,1.0,976.69
7.25,1.23,15.62,4.73,0.88,40.08,40.19,Heather,6670.67,0.8,738.09
3.7,1.65,24.8,3.75,0.87,40.68,43.34,Blueberry,9999.85,0.77,728.58
4.48,1.45,13.83,5.94,0.75,35.7,27.82,Sage,8416.87,0.92,853.98
1.62,1.28,20.61,6.53,0.84,30.03,28.28,Chestnut,5343.06,0.68,658.98
4.52,1.76,23.25,2.64,0.79,44.96,40.6,Tupelo,2811.06,0.64,596.2
2.34,1.72,21.27,5.01,0.73,28.91,39.18,Tupelo,9950.74,0.64,594.33
8.99,1.27,20.3,3.22,0.77,34.87,39.65,Sunflower,2642.99,0.84,745.87
5.38,1.62,13.19,6.93,0.75,20.33,22.58,Thyme,8793.56,0.95,867.61
8.38,1.45,23.92,3.15,0.75,41.61,38.86,Manuka,1624.61,1.0,976.69
2.32,1.84,22.18,4.5,0.75,23.07,36.72,Clover,7554.0,0.82,173.51
4.63,1.74,16.61,3.89,0.84,23.57,21.24,Chestnut,9296.93,0.8,770.22
4.34,1.24,15.84,7.2,0.82,25.45,20.06,Orange Blossom,9411.69,0.64,160.06
9.77,1.41,21.24,7.2,0.74,26.16,36.86,Buckwheat,9947.57,0.88,598.81
9.03,1.83,20.27,7.47,0.76,36.68,26.94,Sage,8734.35,0.68,631.49
8.14,1.33,21.06,2.94,0.86,49.36,24.07,Heather,4003.43,0.64,589.79
8.88,1.36,23.26,4.37,0.75,41.65,30.1,Chestnut,9901.18,1.0,966.61
3.93,1.47,22.16,4.09,0.79,23.89,36.81,Wildflower,4053.05,0.82,264.51
3.53,1.62,13.17,3.95,0.76,22.27,26.34,Rosemary,8422.95,0.82,620.47
2.52,1.4,20.17,2.91,0.78,41.03,36.06,Chestnut,2297.54,0.88,845.68
2.65,1.63,24.85,7.21,0.72,46.31,44.17,Manuka,7787.63,0.64,621.87
4.56,1.82,15.53,6.6,0.84,35.43,29.02,Buckwheat,6557.47,0.68,466.62
3.8,1.34,22.7,4.0,0.77,24.91,31.57,Orange Blossom,2742.75,0.82,206.6
9.66,1.3,14.72,5.92,0.84,47.89,23.02,Sage,2047.28,0.61,564.76
9.17,1.41,16.58,6.39,0.88,31.25,43.69,Sage,3083.95,0.9,830.8
6.33,1.47,14.19,5.64,0.74,39.75,31.34,Avocado,3347.8,0.99,968.87
9.6,1.64,14.73,4.91,0.78,25.54,40.21,Thyme,7676.86,0.8,730.06
2.8,1.45,17.12,3.43,0.8,24.47,28.0,Eucalyptus,2624.63,1.0,694.53
4.12,1.61,17.97,6.09,0.89,31.62,35.15,Thyme,1595.1,0.86,792.42
4.49,1.45,24.89,7.4,0.9,43.3,39.48,Blueberry,3800.05,0.66,626.3
4.17,1.68,17.05,7.07,0.77,45.2,37.76,Borage,3141.74,0.87,649.47
7.47,1.34,21.58,7.09,0.84,21.43,33.71,Thyme,5753.03,0.66,606.29
5.89,1.25,23.98,3.13,0.89,30.28,23.26,Borage,3636.84,1.0,744.91
3.83,1.21,17.46,3.94,0.81,27.39,34.24,Blueberry,5588.19,1.0,946.46
1.12,1.64,23.98,6.56,0.88,36.23,43.57,Borage,3864.05,0.66,489.2
6.25,1.35,16.66,4.53,0.76,25.07,37.32,Wildflower,1822.1,1.0,321.85
9.65,1.59,21.17,6.04,0.89,27.29,35.43,Avocado,3638.36,0.66,646.3
5.98,1.83,16.97,7.14,0.89,26.59,32.74,Blueberry,9550.62,1.0,946.46
4.69,1.33,24.76,4.11,0.9,48.8,35.1,Clover,9612.11,0.8,167.81
7.63,1.37,12.94,3.81,0.83,20.87,20.45,Alfalfa,9879.15,1.0,432.62
3.11,1.28,17.58,5.03,0.71,45.8,31.56,Avocado,5608.28,0.87,851.56
8.79,1.62,24.91,2.92,0.72,48.91,41.1,Clover,9312.42,0.64,134.43
6.88,1.35,24.09,4.74,0.76,33.65,37.75,Borage,2000.12,1.0,744.91
8.96,1.61,17.18,6.45,0.74,30.75,38.56,Sunflower,6936.74,0.89,790.21
1.64,1.4,23.31,7.39,0.72,21.35,28.92,Borage,5439.45,0.9,671.84
8.89,1.44,20.78,3.37,0.74,36.09,30.21,Acacia,6187.42,1.0,543.41
2.73,1.42,17.78,5.23,0.89,35.29,23.19,Lavender,2930.78,1.0,603.85
8.83,1.42,16.14,6.81,0.8,28.31,28.76,Borage,5307.02,0.9,671.84
9.49,1.62,16.01,3.07,0.76,35.24,34.5,Manuka,6307.76,0.84,822.23
4.8,1.71,22.22,5.68,0.78,30.08,23.4,Wildflower,4733.04,0.97,311.22
3.34,1.38,19.23,5.28,0.81,37.62,28.25,Manuka,3101.75,0.92,900.44
4.97,1.75,21.82,7.32,0.77,48.17,42.51,Rosemary,6266.35,0.95,714.93
4.28,1.44,13.27,2.91,0.81,35.57,31.4,Blueberry,4497.6,0.92,872.56
4.81,1.3,15.68,7.42,0.84,20.68,37.21,Buckwheat,3693.66,0.97,665.27
2.47,1.35,15.09,3.81,0.81,42.33,42.1,Avocado,5567.48,0.8,778.25
8.55,1.26,23.79,5.5,0.9,40.01,38.11,Alfalfa,8440.08,0.66,286.27
6.42,1.53,20.4,3.59,0.81,45.05,22.84,Buckwheat,6042.32,1.0,684.45
6.58,1.54,15.41,3.45,0.7,49.28,24.47,Wildflower,7032.35,1.0,321.85
4.28,1.5,22.9,6.54,0.8,34.91,23.66,Buckwheat,4036.61,0.66,449.49
2.15,1.32,20.75,6.34,0.79,41.63,21.52,Lavender,3512.79,0.64,384.48
4.96,1.73,19.12,3.25,0.77,43.73,20.33,Tupelo,1564.36,1.0,936.38
2.83,1.61,22.01,6.45,0.83,34.16,33.64,Thyme,3734.9,0.68,624.62
2.7,1.25,24.53,6.43,0.76,49.83,33.3,Tupelo,5559.84,0.66,619.63
7.41,1.66,21.27,5.81,0.73,28.57,41.54,Heather,4549.11,0.64,589.79
1.14,1.65,15.42,3.61,0.86,34.33,24.02,Tupelo,9606.8,0.79,739.56
7.34,1.33,21.09,6.17,0.82,40.88,25.01,Eucalyptus,8615.46,0.66,459.59
6.75,1.37,14.99,5.78,0.75,20.4,20.07,Orange Blossom,6865.92,1.0,251.38
